INDEX_COLUMN_x,IDX,name_x,address_x,postcode_x,company_x,job_x,phone_number_x,email_x,user_name_x,ip_address_x,credit_card_number_x,date_x,total_int_x,total_float_x,total_int1_x,total_int2_x,total_int3_x,INDEX_COLUMN_y,name_y,address_y,postcode_y,company_y,job_y,phone_number_y,email_y,user_name_y,ip_address_y,credit_card_number_y,date_y,total_int_y,total_float_y,total_int1_y,total_int2_y,total_int3_y
165,76be687ec273bc118d1e04a262aba9317d4e1bec72ce347625bab8826b80c62f,이민지,충청남도 금산군 서초대가,57314,(유) 이김윤,응급구조사,061-534-6594,gimsanghyeon@dreamwiz.com,gyeongsu36,10.130.160.47,6011358802155115,1990-02-25,3,7.96836141461,469562,489,1708,165,이민지,충청남도 금산군 서초대가,57314,(유) 이김윤,응급구조사,061-534-6594,gimsanghyeon@dreamwiz.com,gyeongsu36,10.130.160.47,6011358802155115,1990-02-25,3,7.96836141461,469562,489,1708
166,4bd56a2f187ee54db088bdcbc7e573152d8be76de702da40f98400344da74f45,이미영,대구광역시 노원구 언주6가 (중수황이마을),94966,류이,선박 갑판승무원 및 관련 종사원,016-283-7620,songjunyeong@yuhanhoesa.kr,gimhayun,172.22.49.70,2257332840480845,2019-03-08,8,1.79,928969,14,5868,166,이미영,대구광역시 노원구 언주6가 (중수황이마을),94966,류이,선박 갑판승무원 및 관련 종사원,016-283-7620,songjunyeong@yuhanhoesa.kr,gimhayun,172.22.49.70,2257332840480845,2019-03-08,8,1.79,928969,14,5868
167,00cb62e42b8f2bbbf028ae9b3dee3ec4a9d4dfa8b87f1b0535f642eb3d40990f,문재호,충청남도 강릉시 양재천525길 (경희지이읍),58712,유한회사 이남홍,일반 의사,053-127-5312,wcoe@ryugimbag.com,ijiyeong,10.36.103.245,2659275484376874,1982-02-20,60,5.120696653,63635,994,1848,167,문재호,충청남도 강릉시 양재천525길 (경희지이읍),58712,유한회사 이남홍,일반 의사,053-127-5312,wcoe@ryugimbag.com,ijiyeong,10.36.103.245,2659275484376874,1982-02-20,60,5.120696653,63635,994,1848
168,b82965828f5f2a8db739200213da6d77176ca8ec5dfcfb66d7ee3004dc9fc200,최민지,충청북도 증평군 반포대길 (영희신리),14244,주식회사 남남홍,무용가 및 안무가,041-493-4231,cgo@gimigim.com,eunyeongi,172.18.249.24,374243916632700,2020-06-08,11,2.9,966314,490,5587,168,최민지,충청북도 증평군 반포대길 (영희신리),14244,주식회사 남남홍,무용가 및 안무가,041-493-4231,cgo@gimigim.com,eunyeongi,172.18.249.24,374243916632700,2020-06-08,11,2.9,966314,490,5587
169,9c7db31d09b8f1c9402e6a2c8c3d08a469425475d2fc6d80f8698061dae73d92,박영철,충청북도 공주시 서초대거리 (영희나동),57955,송전,보일러 설치 및 정비원,062-782-7069,yeongil31@gimgim.org,miyeongi,172.20.9.250,373307958417410,1998-09-30,52,1.7543185979,26852,47,1786,169,박영철,충청북도 공주시 서초대거리 (영희나동),57955,송전,보일러 설치 및 정비원,062-782-7069,yeongil31@gimgim.org,miyeongi,172.20.9.250,373307958417410,1998-09-30,52,1.7543185979,26852,47,1786
170,0949bd843003e28c2714d7404dc0177b607e5ed5e9c6273cb9fc4cd8fed8abbe,손시우,제주특별자치도 김포시 봉은사가 (옥순박남리),45951,김최,주유원,064-705-9037,songbyeongceol@hanmail.net,ujin54,172.19.60.119,6566461469282146,2002-10-09,37,5.963168,715931,173,6395,170,손시우,제주특별자치도 김포시 봉은사가 (옥순박남리),45951,김최,주유원,064-705-9037,songbyeongceol@hanmail.net,ujin54,172.19.60.119,6566461469282146,2002-10-09,37,5.963168,715931,173,6395
171,e8470f49144e6d553cc6bc356fddd807a334b6ecced4b85f6846159dfe843af3,고민석,부산광역시 은평구 가락411가,39083,(주) 김,영상 및 관련 장비 설치 및 수리원,041-412-4755,scoe@yu.kr,qheo,192.168.17.169,4733675765686149216,1977-04-25,10,3.985,429626,102,4219,171,고민석,부산광역시 은평구 가락411가,39083,(주) 김,영상 및 관련 장비 설치 및 수리원,041-412-4755,scoe@yu.kr,qheo,192.168.17.169,4733675765686149216,1977-04-25,10,3.985,429626,102,4219
172,5594588b81cd367e90ca5e4d6d882fa61f32badb098ee1ad557e1a7b57f17257,김순옥,제주특별자치도 안성시 오금거리 (영수이황읍),76394,(유) 오,주방 보조원,062-128-6550,jieun93@josoni.net,gyeongjagim,172.30.30.179,3535918994519347,2013-01-01,42,6.5,559195,174,1340,172,김순옥,제주특별자치도 안성시 오금거리 (영수이황읍),76394,(유) 오,주방 보조원,062-128-6550,jieun93@josoni.net,gyeongjagim,172.30.30.179,3535918994519347,2013-01-01,42,6.5,559195,174,1340
173,64dd501b7c8f70c466a854f0c905f6fbb96af29015b4e1c5d02df40c2ae84792,배정희,부산광역시 관악구 개포거리 (영숙김읍),74141,송성양,조명기사 및 영사기사,064-769-1927,ygwag@dreamwiz.com,yeongjin80,172.23.146.160,4580404378793,1981-06-27,43,2.75295553411934,479302,311,2943,173,배정희,부산광역시 관악구 개포거리 (영숙김읍),74141,송성양,조명기사 및 영사기사,064-769-1927,ygwag@dreamwiz.com,yeongjin80,172.23.146.160,4580404378793,1981-06-27,43,2.75295553411934,479302,311,2943
174,fac7bb2af1d3028c0f5b71e22fc2c54c84eef25dde1d81bcde02127921ffe58a,최광수,강원도 옥천군 오금길 (민석오면),12458,박홍,기타 기능관련 종사원,018-180-0869,yeongil65@imseo.kr,gimyeonghyi,172.27.58.53,6011348542830762,1995-02-19,38,6.95493646721632,533656,59,1635,174,최광수,강원도 옥천군 오금길 (민석오면),12458,박홍,기타 기능관련 종사원,018-180-0869,yeongil65@imseo.kr,gimyeonghyi,172.27.58.53,6011348542830762,1995-02-19,38,6.95493646721632,533656,59,1635
175,c67600c5faaad96fd06fe335beaf9d16d9bbc134b31ddbf2481ed320180c576a,김숙자,광주광역시 은평구 언주28가,78293,유한회사 이,감사 사무원,052-067-2299,jiu97@live.com,di,172.30.221.115,5232892461238759,2017-06-06,4,3.892457392,386203,870,4831,175,김숙자,광주광역시 은평구 언주28가,78293,유한회사 이,감사 사무원,052-067-2299,jiu97@live.com,di,172.30.221.115,5232892461238759,2017-06-06,4,3.892457392,386203,870,4831
176,72d3f89ba93cb1e40a5811d2b6605bbd59d95bb046715f15ba8c1fc26219b4ce,김준호,경기도 의왕시 언주길,74804,이김안,네트워크시스템 개발자,051-189-1510,baegeunju@dreamwiz.com,yyu,10.164.251.222,676113355231,2008-12-28,60,3.343022116091,249537,250,8599,176,김준호,경기도 의왕시 언주길,74804,이김안,네트워크시스템 개발자,051-189-1510,baegeunju@dreamwiz.com,yyu,10.164.251.222,676113355231,2008-12-28,60,3.343022116091,249537,250,8599
177,3c378c9caf6bceb6cef4e8f0be4d0ed21f1abb2da4055540237b396ca22736ef,김경희,제주특별자치도 고양시 강남대12길 (유진손읍),90311,손허이,자연과학 시험원,043-720-4677,sumini@sonbaghan.kr,gimminjae,172.20.169.196,4089275992704751713,2007-06-16,63,5.109985995382,723559,236,6466,177,김경희,제주특별자치도 고양시 강남대12길 (유진손읍),90311,손허이,자연과학 시험원,043-720-4677,sumini@sonbaghan.kr,gimminjae,172.20.169.196,4089275992704751713,2007-06-16,63,5.109985995382,723559,236,6466
178,1d708582f753c5849445355e276afb64f5c1c309f23979d59c665f49fe13f9f0,장정자,울산광역시 송파구 학동2거리,11821,유한회사 박최이,기타 사회복지관련 종사원,054-198-0290,yejungang@nate.com,jihyeon18,192.168.247.247,3561362509683487,2005-02-12,83,3.9080298754103,791717,815,8855,178,장정자,울산광역시 송파구 학동2거리,11821,유한회사 박최이,기타 사회복지관련 종사원,054-198-0290,yejungang@nate.com,jihyeon18,192.168.247.247,3561362509683487,2005-02-12,83,3.9080298754103,791717,815,8855
179,73bb8336af345d3f003b2c7cfeab3c5708bd33a141125fa50936ff28601a63ce,백종수,세종특별자치시 중구 양재천684가 (수빈남나동),70933,(주) 황김이,전기 부품 및 제품제조 기계조작원,055-313-4798,ijeongnam@yuhanhoesa.org,subin18,172.25.220.178,4578081483831727,2014-06-26,87,7.8372,784717,825,7011,179,백종수,세종특별자치시 중구 양재천684가 (수빈남나동),70933,(주) 황김이,전기 부품 및 제품제조 기계조작원,055-313-4798,ijeongnam@yuhanhoesa.org,subin18,172.25.220.178,4578081483831727,2014-06-26,87,7.8372,784717,825,7011
180,cddd0f946a214cce0bc200f9ec0b46936ed483e87acfbe505a2dfec0ad9cf27b,김성호,경상북도 성남시 중원구 언주가,56180,이손,통역가,062-121-4231,bagjiweon@munhan.kr,jeongsuan,192.168.195.184,180058694005836,2003-06-15,41,8.9187584804,392415,50,8065,180,김성호,경상북도 성남시 중원구 언주가,56180,이손,통역가,062-121-4231,bagjiweon@munhan.kr,jeongsuan,192.168.195.184,180058694005836,2003-06-15,41,8.9187584804,392415,50,8065
181,db6fddcae96fed748492477e226594b3d7cbc091b2901cbdb496258f6017a8da,이예진,전라남도 파주시 잠실468거리,43719,김강,일반기계 조립원,033-923-6103,sunog70@gimgim.com,munyeongmi,10.184.9.216,2710606876734360,1989-04-18,30,2.10825,329626,813,8564,181,이예진,전라남도 파주시 잠실468거리,43719,김강,일반기계 조립원,033-923-6103,sunog70@gimgim.com,munyeongmi,10.184.9.216,2710606876734360,1989-04-18,30,2.10825,329626,813,8564
182,60f456aa7b7093a0e31ad9c559bcedbedb5443e2effffbe4a30c7b1a91ca6202,김영수,인천광역시 광진구 잠실가,75617,(주) 김백한,기타 문리/기술 및 예능 강사,063-412-0279,jiyeongim@live.com,igim,192.168.15.98,213181784075286,2017-12-11,63,6.8,529379,75,7725,182,김영수,인천광역시 광진구 잠실가,75617,(주) 김백한,기타 문리/기술 및 예능 강사,063-412-0279,jiyeongim@live.com,igim,192.168.15.98,213181784075286,2017-12-11,63,6.8,529379,75,7725
183,d45c7de35a59d9145ea3fcc4a3b6e2a6aa6abe00f97ae843e32a554666ab3c2b,최정희,충청북도 동해시 잠실5길,74213,안오,무역 사무원,016-587-1540,jeongnam50@naver.com,donghyeon95,172.24.228.209,4418971198523177,1980-05-22,43,2.1962765517,697315,879,7195,183,최정희,충청북도 동해시 잠실5길,74213,안오,무역 사무원,016-587-1540,jeongnam50@naver.com,donghyeon95,172.24.228.209,4418971198523177,1980-05-22,43,2.1962765517,697315,879,7195
184,4c30e7c4e70dd93bca87a16d9a09f7116aa0789037af27be7bc36b5927fe2f09,송영길,부산광역시 중랑구 봉은사길,13351,김한이,지휘자/작곡가 및 연주가,064-729-0199,coeyeongsug@ju.com,seongmin60,10.67.184.30,213150029974751,2004-09-09,3,3.4108935,908389,151,9872,184,송영길,부산광역시 중랑구 봉은사길,13351,김한이,지휘자/작곡가 및 연주가,064-729-0199,coeyeongsug@ju.com,seongmin60,10.67.184.30,213150029974751,2004-09-09,3,3.4108935,908389,151,9872
185,815de4ef06543a0622dc70a859e50c52fa0f15bfc27da1d87c399dd077960bf0,이유진,인천광역시 중구 논현길 (미정오리),9221,김진이,보조 교사 및 기타 교사,051-964-5657,rbag@iigim.org,imigyeong,192.168.234.190,630483689109,1979-07-13,46,4.837,176226,40,6145,185,이유진,인천광역시 중구 논현길 (미정오리),9221,김진이,보조 교사 및 기타 교사,051-964-5657,rbag@iigim.org,imigyeong,192.168.234.190,630483689109,1979-07-13,46,4.837,176226,40,6145
186,b152fb0e61d328daa53519014576921b2bb7fca49bab8f6866f54cd950c9fccc,최준영,세종특별자치시 성동구 삼성가,49900,윤김,귀금속 및 보석 세공원,064-791-9149,ji@live.com,ii,172.19.118.106,6560823821673815,2008-08-02,45,8.8342288299032,994981,872,764,186,최준영,세종특별자치시 성동구 삼성가,49900,윤김,귀금속 및 보석 세공원,064-791-9149,ji@live.com,ii,172.19.118.106,6560823821673815,2008-08-02,45,8.8342288299032,994981,872,764
187,58952757fe382ed8fbf8dfa0ddeba6a7d9a46c67a442678658962661215886c0,고현준,충청북도 부천시 오금길,29921,유한회사 심,기타 배달원,033-702-2133,sanghungim@yanggim.com,jiyeonggweon,192.168.25.48,373467743902157,1995-04-09,36,6.793724699,864329,450,191,187,고현준,충청북도 부천시 오금길,29921,유한회사 심,기타 배달원,033-702-2133,sanghungim@yanggim.com,jiyeonggweon,192.168.25.48,373467743902157,1995-04-09,36,6.793724699,864329,450,191
188,1abe2e185971bb5ff83d5bcf730934bd29b8f94ca0cce14cf06755122a5f4f7e,나종수,경상북도 가평군 양재천160거리,53388,윤이,전자 부품 및 제품 제조 기계조작원,055-515-5624,hyejini@live.com,mbag,172.18.153.30,676288272633,2002-12-07,10,7.76,798065,87,158,188,나종수,경상북도 가평군 양재천160거리,53388,윤이,전자 부품 및 제품 제조 기계조작원,055-515-5624,hyejini@live.com,mbag,172.18.153.30,676288272633,2002-12-07,10,7.76,798065,87,158
189,9950f5f8048174b5ff67e58193c5b2deb271dc7b4253f13bf64667017b769b83,이중수,충청북도 보은군 선릉83길,43778,(주) 홍박지,조적공 및 석재 부설원,054-175-3496,yeongceol04@igweonbae.org,hyeonjeongbag,172.26.27.206,3588339253108670,1977-09-20,14,4.175765,477478,611,2702,189,이중수,충청북도 보은군 선릉83길,43778,(주) 홍박지,조적공 및 석재 부설원,054-175-3496,yeongceol04@igweonbae.org,hyeonjeongbag,172.26.27.206,3588339253108670,1977-09-20,14,4.175765,477478,611,2702
190,2ff69ea5a11144909b394342ed5f6cf5e73e062315bac91bc77a00605ed3bcf2,김옥자,제주특별자치도 양양군 서초중앙길 (민석강마을),71177,주식회사 유나박,기자 및 논설위원,051-641-4230,gimjaehyeon@gmail.com,yeonggilo,10.171.70.90,3524272627929348,1989-12-20,27,3.99119,656865,950,765,190,김옥자,제주특별자치도 양양군 서초중앙길 (민석강마을),71177,주식회사 유나박,기자 및 논설위원,051-641-4230,gimjaehyeon@gmail.com,yeonggilo,10.171.70.90,3524272627929348,1989-12-20,27,3.99119,656865,950,765
191,2643c17cade533e41409cbd5ada38df3b5490f14c54a53841e21e0113bb2c6c7,한정남,광주광역시 광진구 언주1가,65327,이하배,자재관리 사무원,053-158-0324,qbag@naver.com,ihan,10.104.134.236,3593530969634545,2004-05-21,86,4.541,533333,952,5163,191,한정남,광주광역시 광진구 언주1가,65327,이하배,자재관리 사무원,053-158-0324,qbag@naver.com,ihan,10.104.134.236,3593530969634545,2004-05-21,86,4.541,533333,952,5163
192,40d0cf3b61304e0ac3d5c3be5e10586912aa9a5c4d8abc8e4045c7b60ee59885,권우진,경상북도 옥천군 양재천850거리,12144,(주) 이,표백 및 염색 관련 조작원,042-977-3367,vgim@gmail.com,seongsugim,172.18.5.108,4231126238985119,2019-11-22,2,8.303100463,571881,790,3958,192,권우진,경상북도 옥천군 양재천850거리,12144,(주) 이,표백 및 염색 관련 조작원,042-977-3367,vgim@gmail.com,seongsugim,172.18.5.108,4231126238985119,2019-11-22,2,8.303100463,571881,790,3958
193,a30ce92dc2ed0edc9480b4e7978d63f9bbbf165fe4f99d5d73740c823cc605d7,조시우,전라북도 하남시 서초중앙길,46965,(유) 문,채소 및 특용작물 재배원,064-768-2068,ujincoe@nate.com,tjeon,172.24.93.60,4450066468725271988,1993-12-29,93,3.2500713444,518540,132,1168,193,조시우,전라북도 하남시 서초중앙길,46965,(유) 문,채소 및 특용작물 재배원,064-768-2068,ujincoe@nate.com,tjeon,172.24.93.60,4450066468725271988,1993-12-29,93,3.2500713444,518540,132,1168
194,b76a25ba350dc599b72e66a4bff6ce4ddb55c9d78468794e22ce4cccce78d41b,박채원,광주광역시 강남구 테헤란길 (정순성리),42558,주식회사 권이남,육아 도우미,053-669-9018,jangyeongsu@yuhanhoesa.net,gimjeongsug,10.61.87.236,4881433894891737,1989-02-13,24,6.7282,501480,457,5150,194,박채원,광주광역시 강남구 테헤란길 (정순성리),42558,주식회사 권이남,육아 도우미,053-669-9018,jangyeongsu@yuhanhoesa.net,gimjeongsug,10.61.87.236,4881433894891737,1989-02-13,24,6.7282,501480,457,5150
195,d01be9a8818019da9b962035f3de9e6aa1ec1b15c96a9044508a5cd2bd226286,손지훈,세종특별자치시 용산구 압구정33길,49850,김김,한복 제조원,053-954-7738,gangminji@igimjang.net,bageunji,192.168.25.151,4987443826676,1976-05-30,22,2.43664526,971435,896,4494,195,손지훈,세종특별자치시 용산구 압구정33길,49850,김김,한복 제조원,053-954-7738,gangminji@igimjang.net,bageunji,192.168.25.151,4987443826676,1976-05-30,22,2.43664526,971435,896,4494
196,5d3823fd47d5bebae10bb00fdf568b06ab81487581366b88ae2967e06d029b92,서예지,서울특별시 강남구 압구정41가,64079,(주) 오문이,자연과학 시험원,032-375-6835,sujinbag@baghan.kr,eunji15,192.168.235.97,180089896208175,1970-01-29,16,4.3642545923173,661922,47,3611,196,서예지,서울특별시 강남구 압구정41가,64079,(주) 오문이,자연과학 시험원,032-375-6835,sujinbag@baghan.kr,eunji15,192.168.235.97,180089896208175,1970-01-29,16,4.3642545923173,661922,47,3611
197,e59e709de894de8d95bdf84f83f341778058a99dc3f147e5027fd4047b66742a,서채원,경기도 연천군 언주626길,39355,박심이,안경사,055-582-6777,sunogbag@jusighoesa.org,heosubin,192.168.99.216,30358818399756,1999-10-03,30,4.122290863424,541182,694,3865,197,서채원,경기도 연천군 언주626길,39355,박심이,안경사,055-582-6777,sunogbag@jusighoesa.org,heosubin,192.168.99.216,30358818399756,1999-10-03,30,4.122290863424,541182,694,3865
198,ac865eea92919e90a7b00df59f08ecb59bb4efa29f175059f0338df27c775b6e,김지연,광주광역시 동대문구 백제고분로,99794,유한회사 손오이,의지보조기기사,032-041-4337,seunghyeon18@haii.org,eungyeong96,172.20.222.127,4689703431466894,1991-05-25,54,4.313177876035,293131,656,7613,198,김지연,광주광역시 동대문구 백제고분로,99794,유한회사 손오이,의지보조기기사,032-041-4337,seunghyeon18@haii.org,eungyeong96,172.20.222.127,4689703431466894,1991-05-25,54,4.313177876035,293131,656,7613
199,a33445c8fe65518e988b1df0fa190de986b4f8428e077ebc645e70804e27d39c,심영수,경상북도 논산시 삼성08길,61600,안이이,안경사,019-589-5903,gimjeongnam@ju.net,junyeong21,10.35.188.75,4423056633260818,1978-08-11,44,5.626701926,635107,942,2294,199,심영수,경상북도 논산시 삼성08길,61600,안이이,안경사,019-589-5903,gimjeongnam@ju.net,junyeong21,10.35.188.75,4423056633260818,1978-08-11,44,5.626701926,635107,942,2294
200,e9a598c9884b2b4cc953d634b504b80692a42abbfda07e11f695582d58b04d1b,김경자,광주광역시 양천구 오금가,42930,(유) 홍이서,세탁원 및 다림질원,063-775-2756,seonyeong19@yuhanhoesa.kr,jihu90,10.223.157.254,6594652523685250,2000-04-16,41,3.6120848794795,405075,119,3533,200,김경자,광주광역시 양천구 오금가,42930,(유) 홍이서,세탁원 및 다림질원,063-775-2756,seonyeong19@yuhanhoesa.kr,jihu90,10.223.157.254,6594652523685250,2000-04-16,41,3.6120848794795,405075,119,3533
201,4e697574c6e3693487942c34ff3279f02e9badfa8c7984a85b5da6e15500796f,김상철,부산광역시 서구 오금21거리,54785,주식회사 김이이,자산 운용가,017-018-6899,yeongsugyun@yuhanhoesa.com,ihayun,192.168.29.90,4206931861008,1997-07-10,28,5.14024883082,837172,172,7794,201,김상철,부산광역시 서구 오금21거리,54785,주식회사 김이이,자산 운용가,017-018-6899,yeongsugyun@yuhanhoesa.com,ihayun,192.168.29.90,4206931861008,1997-07-10,28,5.14024883082,837172,172,7794
202,fca4836976e56c23b1aa03a2815aef685b33e9bb1838130eaa6d30533c90bee1,손광수,충청북도 단양군 양재천길,45527,(주) 김,기타 여가 및 스포츠 관련 종사원,017-438-6083,bi@yu.com,seoyeongi,192.168.53.243,4922776430992364,2000-11-01,72,5.4171375624469,567196,565,5719,202,손광수,충청북도 단양군 양재천길,45527,(주) 김,기타 여가 및 스포츠 관련 종사원,017-438-6083,bi@yu.com,seoyeongi,192.168.53.243,4922776430992364,2000-11-01,72,5.4171375624469,567196,565,5719
203,92238160d01b5eb13c2068b95b9ee42d99aa3dae270fcd1a62dc64e874ad3642,윤경수,광주광역시 동대문구 학동16길 (영자양리),68208,유한회사 김배심,용접원,019-154-4690,zi@hotmail.com,seongjinmun,172.24.164.225,180036820291850,2007-09-05,13,4.328832141,710924,15,1025,203,윤경수,광주광역시 동대문구 학동16길 (영자양리),68208,유한회사 김배심,용접원,019-154-4690,zi@hotmail.com,seongjinmun,172.24.164.225,180036820291850,2007-09-05,13,4.328832141,710924,15,1025
204,5781c91a7f022f6b146981a13b2e1db3e2681b6374af6215038bd54a38f9b44c,정은서,제주특별자치도 논산시 도산대67거리,39292,주식회사 최,화학공학 기술자 및 연구원,032-798-2768,sangceoli@daum.net,ggim,10.221.145.169,347026400440134,1998-07-06,16,7.871492,404415,868,4787,204,정은서,제주특별자치도 논산시 도산대67거리,39292,주식회사 최,화학공학 기술자 및 연구원,032-798-2768,sangceoli@daum.net,ggim,10.221.145.169,347026400440134,1998-07-06,16,7.871492,404415,868,4787
205,8a72fd92b00ad741fbb6d81043093ad52dc6e3935a7ce243b140a69c715b633d,박예은,충청북도 청양군 삼성9거리 (영수이김마을),56337,민김,시멘트 및 광물제품 제조기 조작원,017-541-5514,minjaei@hotmail.com,bagyejin,10.154.61.69,213101235546545,1971-11-16,41,4.99581,382262,579,8787,205,박예은,충청북도 청양군 삼성9거리 (영수이김마을),56337,민김,시멘트 및 광물제품 제조기 조작원,017-541-5514,minjaei@hotmail.com,bagyejin,10.154.61.69,213101235546545,1971-11-16,41,4.99581,382262,579,8787
206,77a3e31211f30c72e0a2307172b93a4abd354f03862daabe24a50b6bc678a43f,이미경,부산광역시 성동구 영동대0로,40846,김김,택배원,052-626-3753,anhyeonjeong@gmail.com,ebag,192.168.201.243,60448257174,2010-06-01,73,8.570149,871959,814,2827,206,이미경,부산광역시 성동구 영동대0로,40846,김김,택배원,052-626-3753,anhyeonjeong@gmail.com,ebag,192.168.201.243,60448257174,2010-06-01,73,8.570149,871959,814,2827
207,be0b7cff1e179aec6628a376c80cc0a1c1de12bb16d49977c404c6d3e81e31e7,윤영철,인천광역시 성북구 선릉가,87119,유한회사 김,수의사,054-290-7075,jihu08@ju.org,zgang,10.51.217.52,180051212268317,1992-05-20,80,8.1141832,746842,827,6035,207,윤영철,인천광역시 성북구 선릉가,87119,유한회사 김,수의사,054-290-7075,jihu08@ju.org,zgang,10.51.217.52,180051212268317,1992-05-20,80,8.1141832,746842,827,6035
208,a1d6b3ff0a92f6cd6d23fed3abaa996197d7b8465f255645d7f249e78c0fe1d0,박영희,대구광역시 광진구 백제고분가 (수빈박읍),99847,나이,초등학교 교사,051-391-3334,gangjeongsig@hangu.kr,ebag,172.25.109.75,4599733797028755,1973-11-06,55,1.5852,413914,796,9532,208,박영희,대구광역시 광진구 백제고분가 (수빈박읍),99847,나이,초등학교 교사,051-391-3334,gangjeongsig@hangu.kr,ebag,172.25.109.75,4599733797028755,1973-11-06,55,1.5852,413914,796,9532
209,c24ededb604746f61e8df8f6bfdc08664c29f8aed0aab8e06414da6aae07e7df,박선영,광주광역시 노원구 봉은사가 (예준김면),93126,주식회사 손한이,건축 석공,044-356-8583,hyejino@naver.com,seoyeong13,192.168.78.75,2276120250802922,2012-03-13,22,5.95,735547,151,2084,209,박선영,광주광역시 노원구 봉은사가 (예준김면),93126,주식회사 손한이,건축 석공,044-356-8583,hyejino@naver.com,seoyeong13,192.168.78.75,2276120250802922,2012-03-13,22,5.95,735547,151,2084
210,a757439e315efad24e88de219c390f2f5f956243826af4c970005a4660fdba66,박성수,서울특별시 금천구 언주41거리,15407,유한회사 송,조경원,062-334-7453,gimhyejin@ju.kr,qi,192.168.79.191,4149643275163765,2005-01-12,76,3.3182834181357,351983,324,7116,210,박성수,서울특별시 금천구 언주41거리,15407,유한회사 송,조경원,062-334-7453,gimhyejin@ju.kr,qi,192.168.79.191,4149643275163765,2005-01-12,76,3.3182834181357,351983,324,7116
211,6e2c900e224a38be84df8b91da0e2e36f9d07fcde6fdf5bd7539970d536dbab0,김우진,부산광역시 동작구 개포8거리,5965,유한회사 백,육아 도우미,031-974-6840,umun@hotmail.com,seojun43,192.168.114.3,38564044498252,1977-10-22,53,5.33641112569,125948,412,9745,211,김우진,부산광역시 동작구 개포8거리,5965,유한회사 백,육아 도우미,031-974-6840,umun@hotmail.com,seojun43,192.168.114.3,38564044498252,1977-10-22,53,5.33641112569,125948,412,9745
212,644f72a3cc2b2729424618c7317594d4190928ff2150dff08c050d78ea59c779,고혜진,울산광역시 성북구 강남대가 (성진구이리),23424,(유) 이박이,전기공학 기술자 및 연구원,054-282-6288,lyun@live.com,sanghuni,192.168.57.138,4687803339799075420,2004-11-09,37,1.5598,989118,56,1292,212,고혜진,울산광역시 성북구 강남대가 (성진구이리),23424,(유) 이박이,전기공학 기술자 및 연구원,054-282-6288,lyun@live.com,sanghuni,192.168.57.138,4687803339799075420,2004-11-09,37,1.5598,989118,56,1292
213,813b9b3bf8301f2a77d091f9e26b4ea05b7625ac3389e17456e16054a5ef052a,김민서,인천광역시 중랑구 양재천거리 (민석한리),15761,김한박,구두 미화원,053-667-3345,di@naver.com,yeongmi86,10.70.72.83,374693813152881,1977-12-30,85,1.9346,25001,496,3789,213,김민서,인천광역시 중랑구 양재천거리 (민석한리),15761,김한박,구두 미화원,053-667-3345,di@naver.com,yeongmi86,10.70.72.83,374693813152881,1977-12-30,85,1.9346,25001,496,3789
214,6b09f691894c543ee6ef078bd9e5db9a51ed30e3debcc9c1d008b49dbc47efad,김현정,전라북도 동해시 도산대거리,5092,윤강김,도시 및 교통설계 전문가,062-458-2945,ijia@daum.net,eunji98,10.64.74.46,4841728501674593,1978-04-15,44,7.645169,246346,209,9616,214,김현정,전라북도 동해시 도산대거리,5092,윤강김,도시 및 교통설계 전문가,062-458-2945,ijia@daum.net,eunji98,10.64.74.46,4841728501674593,1978-04-15,44,7.645169,246346,209,9616
215,90b6070389842f54157e6e4a48588a9cc41ddb4ade1e3f4dfb952d4fab255c85,권수민,경상남도 부천시 소사구 백제고분길,28843,주식회사 이김하,자동차 정비원,051-431-2658,fgim@yu.com,seungmin36,10.94.168.99,2253780818832310,1998-08-19,4,3.2488,969442,885,2509,215,권수민,경상남도 부천시 소사구 백제고분길,28843,주식회사 이김하,자동차 정비원,051-431-2658,fgim@yu.com,seungmin36,10.94.168.99,2253780818832310,1998-08-19,4,3.2488,969442,885,2509
216,77d0972aa80957c6c650d7f5ded32b8f9f0dde09f1ff3078662198f3a281e7fa,박명자,부산광역시 은평구 오금66거리,92917,(주) 김정김,정보 시스템 운영자,018-637-3911,seonghyeon55@ibagi.com,oyunseo,192.168.222.104,38638506167116,1999-11-09,75,6.276411672,387835,984,5320,216,박명자,부산광역시 은평구 오금66거리,92917,(주) 김정김,정보 시스템 운영자,018-637-3911,seonghyeon55@ibagi.com,oyunseo,192.168.222.104,38638506167116,1999-11-09,75,6.276411672,387835,984,5320
217,02a6c8017999aa7f7d26abd074d9d95edcad0995817f779e85aea17df0958a9b,최옥순,대구광역시 강서구 서초중앙거리,58445,유한회사 김서이,외선전공,064-744-9658,pgim@yuhanhoesa.net,caeweon09,10.118.136.207,6011017704418340,2021-04-28,39,4.355,634730,506,9327,217,최옥순,대구광역시 강서구 서초중앙거리,58445,유한회사 김서이,외선전공,064-744-9658,pgim@yuhanhoesa.net,caeweon09,10.118.136.207,6011017704418340,2021-04-28,39,4.355,634730,506,9327
